cve,description
CVE-2024-10580,"284, 285, 862"
CVE-2024-10895,"707, 74, 79"
CVE-2024-36467,"284, 285"
CVE-2024-11667,"22, 664, 668, 706"
CVE-2024-52323,"200, 276, 284, 285, 664, 668, 732"
CVE-2024-10521,"345, 352, 693"
CVE-2024-11025,"707, 74, 89, 943"
CVE-2024-11009,"707, 74, 89, 943"
CVE-2024-36468,"118, 119, 121, 664, 787, 788"
CVE-2024-42326,"118, 119, 416, 664, 666, 672, 825"
CVE-2024-42327,"707, 74, 89, 943"
CVE-2024-42328,"476, 703, 710, 754"
CVE-2024-42329,"476, 703, 710, 754"
CVE-2024-42330,"134, 664, 668"
CVE-2024-42331,"118, 119, 416, 664, 666, 672, 825"
CVE-2024-42332,
CVE-2024-42333,"118, 119, 125, 126, 664, 788"
CVE-2024-36464,"1390, 256, 284, 287, 522, 664, 668"
CVE-2024-53603,"707, 74, 89, 943"
CVE-2024-53604,"664, 707, 74, 913, 94"
CVE-2024-53635,"707, 74, 79"
CVE-2024-11862,"1229, 385, 514, 664"
CVE-2024-46054,
CVE-2024-46055,"707, 74, 79"
CVE-2024-52951,"707, 74, 79"
CVE-2024-53920,
CVE-2024-11860,"266, 269, 284"
CVE-2024-21703,"284, 285, 664, 668, 732"
CVE-2024-31976,"707, 74, 77, 78"
CVE-2024-37816,"118, 119, 120, 664"
CVE-2024-51228,"707, 74, 77, 78"
CVE-2024-54003,"707, 74, 79"
CVE-2024-54004,"22, 664, 668, 706"
CVE-2024-11160,
CVE-2024-53254,
CVE-2024-7025,"471, 472, 642, 664, 668"
CVE-2024-9369,"1284, 20, 707"
CVE-2023-29001,"674, 691, 834"
CVE-2024-41125,"118, 119, 125, 664"
CVE-2024-41126,"118, 119, 125, 664"
CVE-2024-47181,"664, 704"
CVE-2024-53264,"601, 610, 664"
CVE-2024-53855,"653, 657, 693, 710"
CVE-2017-13316,"284, 285, 862"
CVE-2017-13319,"118, 119, 120, 664"
CVE-2017-13320,"118, 119, 125, 664"
CVE-2017-13321,"118, 119, 125, 664"
CVE-2017-13323,"118, 119, 664, 787"
CVE-2018-9349,"118, 119, 125, 664"
CVE-2018-9350,"118, 119, 125, 664"
CVE-2024-53260,"1236, 707, 74"
CVE-2024-53858,"200, 664, 668"
CVE-2024-53859,"200, 664, 668"
CVE-2024-53860,"707, 74"
CVE-2018-9351,"118, 119, 125, 664"
CVE-2018-9352,"190, 682"
CVE-2018-9353,"118, 119, 125, 664"
CVE-2018-9354,"369, 682"
CVE-2018-9374,"284, 285, 863"
CVE-2024-11787,"118, 119, 121, 664, 787, 788"
CVE-2024-11789,"118, 119, 121, 664, 787, 788"
CVE-2024-11790,"118, 119, 121, 664, 787, 788"
CVE-2024-11791,"118, 119, 121, 664, 787, 788"
CVE-2024-11792,"118, 119, 121, 664, 787, 788"
CVE-2024-11793,"118, 119, 664, 787"
CVE-2024-11794,"118, 119, 664, 787"
CVE-2024-11795,"118, 119, 121, 664, 787, 788"
CVE-2024-11796,"118, 119, 664, 787"
CVE-2024-11797,"118, 119, 664, 787"
CVE-2024-11798,"118, 119, 664, 787"
CVE-2024-11799,"118, 119, 121, 664, 787, 788"
CVE-2024-11800,"118, 119, 121, 664, 787, 788"
CVE-2024-11801,"118, 119, 664, 787"
CVE-2024-11802,"118, 119, 121, 664, 787, 788"
CVE-2024-11803,"118, 119, 664, 787"
CVE-2024-11933,"118, 119, 122, 664, 787, 788"
CVE-2018-9377,"664, 665, 908"
CVE-2024-38309,"118, 119, 121, 664, 787, 788"
CVE-2024-38389,"118, 119, 125, 664"
CVE-2024-38658,"118, 119, 125, 664"
CVE-2024-53008,"435, 436, 444"
CVE-2024-46939,"22, 664, 668, 706"
CVE-2024-10473,"707, 74, 79"
CVE-2024-10493,"707, 74, 79"
CVE-2024-10510,"707, 74, 79"
CVE-2024-10896,"707, 74, 77, 78"
CVE-2024-11918,"284, 285, 862"
CVE-2024-11925,"284, 287, 288, 306"
CVE-2024-36466,"1390, 284, 287, 290"
CVE-2024-11203,"707, 74, 79"
CVE-2024-11333,"707, 74, 79"
CVE-2024-11366,"707, 74, 79"
CVE-2024-11431,"707, 74, 79"
CVE-2024-11458,"707, 74, 79"
CVE-2024-11684,"707, 74, 79"
CVE-2024-11685,"707, 74, 79"
CVE-2024-11761,"707, 74, 79"
CVE-2024-11786,"707, 74, 79"
CVE-2024-11788,"707, 74, 79"
CVE-2024-8066,"434, 664, 669"
CVE-2024-9669,"22, 664, 668, 706"
CVE-2024-10670,"284, 285, 639, 863"
CVE-2024-10780,"284, 285, 639, 863"
CVE-2024-10798,"284, 285, 639, 863"
CVE-2024-11082,"434, 664, 669"
CVE-2024-11103,"1390, 284, 287, 640"
CVE-2024-11599,"703, 754"
CVE-2024-22037,"200, 497, 664, 668"
CVE-2024-22038,"59, 664, 706"
CVE-2024-49502,"707, 74, 79"
CVE-2024-49503,"707, 74, 79"
